Regione per Dettaglio;Settore;Anno;S - Consolidato SPA
Piemonte;Amministrazione Generale;2000;4075365390.0000
Piemonte;Amministrazione Generale;2001;4666354430.0000
Piemonte;Amministrazione Generale;2002;4415092020.0000
Piemonte;Amministrazione Generale;2003;5594532030.0000
Piemonte;Amministrazione Generale;2004;6079831250.0000
Piemonte;Amministrazione Generale;2005;6289252650.0000
Piemonte;Amministrazione Generale;2006;6576511960.0000
Piemonte;Amministrazione Generale;2007;6605487700.0000
Piemonte;Amministrazione Generale;2008;6613418810.0000
Piemonte;Amministrazione Generale;2009;6884719620.0000
Piemonte;Amministrazione Generale;2010;6143199120.0000
Piemonte;Amministrazione Generale;2011;5700160300.0000
Piemonte;Amministrazione Generale;2012;5417245970.0000
Piemonte;Amministrazione Generale;2013;5687832030.0000
Piemonte;Amministrazione Generale;2014;6113012730.0000
Piemonte;Amministrazione Generale;2015;6797314620.0000
Piemonte;Amministrazione Generale;2016;6854806270.0000
Piemonte;Amministrazione Generale;2017;6645324920.0000
Piemonte;Amministrazione Generale;2018;6871795510.0000
Piemonte;Amministrazione Generale;2019;6978426190.0000
Piemonte;Amministrazione Generale;2020;7214794370.0000
Piemonte;Amministrazione Generale;2021;7519960920.0000
Piemonte;Difesa;2000;890035780.0000
Piemonte;Difesa;2001;785874820.0000
Piemonte;Difesa;2002;761179730.0000
Piemonte;Difesa;2003;1125546720.0000
Piemonte;Difesa;2004;874438230.0000
Piemonte;Difesa;2005;774166460.0000
Piemonte;Difesa;2006;709943390.0000
Piemonte;Difesa;2007;735066890.0000
Piemonte;Difesa;2008;704160610.0000
Piemonte;Difesa;2009;755445050.0000
Piemonte;Difesa;2010;542976000.0000
Piemonte;Difesa;2011;671131540.0000
Piemonte;Difesa;2012;676660710.0000
Piemonte;Difesa;2013;654034320.0000
Piemonte;Difesa;2014;669161460.0000
Piemonte;Difesa;2015;577574020.0000
Piemonte;Difesa;2016;581059240.0000
Piemonte;Difesa;2017;533663420.0000
Piemonte;Difesa;2018;625036440.0000
Piemonte;Difesa;2019;624100260.0000
Piemonte;Difesa;2020;639542650.0000
Piemonte;Difesa;2021;645837880.0000
Piemonte;Sicurezza pubblica;2000;702388900.0000
Piemonte;Sicurezza pubblica;2001;763805090.0000
Piemonte;Sicurezza pubblica;2002;662382900.0000
Piemonte;Sicurezza pubblica;2003;737215700.0000
Piemonte;Sicurezza pubblica;2004;838677400.0000
Piemonte;Sicurezza pubblica;2005;887798130.0000
Piemonte;Sicurezza pubblica;2006;919887980.0000
Piemonte;Sicurezza pubblica;2007;863465880.0000
Piemonte;Sicurezza pubblica;2008;731505870.0000
Piemonte;Sicurezza pubblica;2009;890840020.0000
Piemonte;Sicurezza pubblica;2010;963649940.0000
Piemonte;Sicurezza pubblica;2011;985909980.0000
Piemonte;Sicurezza pubblica;2012;966673520.0000
Piemonte;Sicurezza pubblica;2013;913075080.0000
Piemonte;Sicurezza pubblica;2014;912063760.0000
Piemonte;Sicurezza pubblica;2015;858443180.0000
Piemonte;Sicurezza pubblica;2016;879367840.0000
Piemonte;Sicurezza pubblica;2017;882626860.0000
Piemonte;Sicurezza pubblica;2018;914909200.0000
Piemonte;Sicurezza pubblica;2019;969400870.0000
Piemonte;Sicurezza pubblica;2020;993978080.0000
Piemonte;Sicurezza pubblica;2021;1024536850.0000
Piemonte;Giustizia;2000;291207270.0000
Piemonte;Giustizia;2001;327547290.0000
Piemonte;Giustizia;2002;348795390.0000
Piemonte;Giustizia;2003;365963410.0000
